City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
9,Sao Filipe,CV,76.24,clear sky,14.8961,-24.4956,Tortuga B&B
10,Pitimbu,BR,80.6,light rain,-7.4706,-34.8086,Reserva do Abiaí
11,Hithadhoo,MV,83.68,broken clouds,-0.6,73.0833,Scoop Guest House
12,Puerto Ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Jiwani,PK,79.47,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
17,Atuona,PF,80.49,scattered clouds,-9.8,-139.0333,Villa Enata
22,Faanui,PF,81.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
28,Saint George,US,73.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
31,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
35,Cidreira,BR,88.25,clear sky,-30.1811,-50.2056,Hotel Castelo
38,Geraldton,AU,75.2,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
39,Harper,LR,83.95,broken clouds,4.375,-7.7169,Screensaver
40,Kavieng,PG,78.28,moderate rain,-2.5744,150.7967,Nusa Island Retreat
42,Bengkulu,ID,76.17,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
44,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Holguin,CU,89.6,broken clouds,20.8872,-76.2631,Casa Cables. Holguín
51,Rikitea,PF,78.24,light rain,-23.1203,-134.9692,Pension Maro'i
52,Nsanje,MW,74.73,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
53,Miri,MY,78.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
54,Victoria,HK,73.99,scattered clouds,22.2855,114.1577,Mini Hotel Central
58,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
64,Poum,NC,78.21,overcast clouds,-20.2333,164.0167,Gîte kajeon
76,Caravelas,BR,82.65,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
77,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
85,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
86,Guantanamo,CU,86.0,broken clouds,20.1444,-75.2092,Hotel Guantánamo
91,Castro,BR,79.48,clear sky,-24.7911,-50.0119,CHACARA BAILLY
92,Las Juntas,MX,82.4,few clouds,19.4167,-104.7,La casa de la Riata
95,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
96,Tura,IN,78.12,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
97,San Cristobal,VE,89.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
102,Srandakan,ID,78.42,overcast clouds,-7.9386,110.2506,Puri Brata
103,Basco,PH,76.82,broken clouds,20.4487,121.9702,Nathaniel's Lodge
