City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,80.96,76,60,8.77,light rain
1,Narsaq,GL,60.9167,-46.05,55.4,15,20,20.71,few clouds
2,Ribeira Grande,PT,38.5167,-28.7,64.4,94,75,5.75,broken clouds
3,Airai,TL,-8.9266,125.4092,57.94,88,72,1.63,broken clouds
4,Vaini,TO,-21.2,-175.2,66.2,94,20,3.44,few clouds
5,Alexandria,EG,31.2156,29.9553,60.8,51,20,14.97,few clouds
6,Ancud,CL,-41.8697,-73.8203,59.0,100,90,14.97,light rain
7,Provideniya,RU,64.3833,-173.3,9.09,85,100,23.15,light snow
8,Orlik,RU,52.5178,99.825,14.79,71,39,4.05,scattered clouds
9,Sao Filipe,CV,14.8961,-24.4956,76.24,63,1,5.66,clear sky
10,Pitimbu,BR,-7.4706,-34.8086,80.6,100,75,5.75,light rain
11,Hithadhoo,MV,-0.6,73.0833,83.68,67,69,10.87,broken clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,40,11.5,scattered clouds
13,Albany,US,42.6001,-73.9662,73.4,56,90,8.05,overcast clouds
14,Candido Mota,BR,-22.7464,-50.3869,90.43,23,4,4.79,clear sky
15,Dikson,RU,73.5069,80.5464,27.55,91,100,27.31,overcast clouds
16,Jiwani,PK,25.05,61.7417,79.47,74,0,11.97,clear sky
17,Atuona,PF,-9.8,-139.0333,80.49,77,34,18.5,scattered clouds
18,Fairbanks,US,64.8378,-147.7164,10.99,55,1,8.05,clear sky
19,Atbasar,KZ,51.8,68.3333,31.35,97,95,4.85,overcast clouds
20,Khorramabad,IR,33.4878,48.3558,59.0,63,40,1.54,scattered clouds
21,Upernavik,GL,72.7868,-56.1549,30.76,80,100,8.88,light snow
22,Faanui,PF,-16.4833,-151.75,81.3,76,100,11.36,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,46.0,76,84,1.99,broken clouds
24,Uglekamensk,RU,43.2172,133.2303,42.03,96,69,3.22,broken clouds
25,Dakar,SN,14.6937,-17.4441,75.2,69,0,13.8,clear sky
26,Hobart,AU,-42.8794,147.3294,48.2,71,75,13.8,broken clouds
27,Punta Arenas,CL,-53.15,-70.9167,53.6,54,75,13.8,broken clouds
28,Saint George,US,37.1041,-113.5841,73.0,16,1,4.61,clear sky
29,Klyuchi,RU,52.2667,79.1667,32.58,96,16,8.68,few clouds
30,Brae,GB,60.3964,-1.353,42.8,56,40,11.5,scattered clouds
31,Georgetown,MY,5.4112,100.3354,81.0,89,20,2.3,few clouds
32,Scarborough,GB,54.2797,-0.4044,41.0,64,23,1.99,few clouds
33,Mataura,NZ,-46.1927,168.8643,46.99,97,89,1.99,overcast clouds
34,Mar Del Plata,AR,-38.0023,-57.5575,66.2,63,40,16.11,scattered clouds
35,Cidreira,BR,-30.1811,-50.2056,88.25,48,4,5.12,clear sky
36,Kodiak,US,57.79,-152.4072,39.2,93,90,14.97,moderate rain
37,Hermanus,ZA,-34.4187,19.2345,66.99,85,100,3.0,overcast clouds
38,Geraldton,AU,-28.7667,114.6,75.2,94,75,23.02,broken clouds
39,Harper,LR,4.375,-7.7169,83.95,72,83,10.22,broken clouds
40,Kavieng,PG,-2.5744,150.7967,78.28,84,100,4.65,moderate rain
41,Peniche,PT,39.3558,-9.3811,60.01,74,67,8.99,broken clouds
42,Bengkulu,ID,-3.8004,102.2655,76.17,89,88,3.98,heavy intensity rain
43,Pirgos,GR,35.1167,25.7178,55.4,76,20,9.22,few clouds
44,Mahebourg,MU,-20.4081,57.7,78.8,89,40,5.75,light rain
45,Holguin,CU,20.8872,-76.2631,89.6,40,75,5.75,broken clouds
46,Busselton,AU,-33.65,115.3333,61.0,97,100,7.25,light rain
47,Yellowknife,CA,62.456,-114.3525,-2.2,71,75,6.91,light snow
48,Nuuk,GL,64.1835,-51.7216,33.8,80,20,16.11,few clouds
49,Nassjo,SE,57.6531,14.6968,32.0,100,90,9.22,snow
50,Nikolskoye,RU,59.7035,30.7861,48.99,34,0,2.24,light rain
51,Rikitea,PF,-23.1203,-134.9692,78.24,75,8,11.14,light rain
52,Nsanje,MW,-16.92,35.262,74.73,79,99,3.96,overcast clouds
53,Miri,MY,4.4148,114.0089,78.8,89,40,3.44,scattered clouds
54,Victoria,HK,22.2855,114.1577,73.99,84,37,1.01,scattered clouds
55,Kidal,ML,18.4411,1.4078,96.75,6,2,4.05,clear sky
